date_time,category,account,amount,currency,tags
30-11-2025 00:00,Health,acct_1,114,BYN,tag_1
29-11-2025 00:00,Food,acct_1,5,BYN,tag_1
27-11-2025 00:00,Public transport,acct_2,1,BYN,tag_1
27-11-2025 00:00,Cafe,acct_1,10,BYN,tag_1
27-11-2025 00:00,Public transport,acct_2,1,BYN,tag_1
26-11-2025 00:00,Cafe,acct_3,2,BYN,tag_1
26-11-2025 00:00,Public transport,acct_2,1,BYN,tag_1
25-11-2025 00:00,Public transport,acct_2,1,BYN,tag_1
25-11-2025 00:00,Public transport,acct_2,1,BYN,tag_1
25-11-2025 00:00,Cafe,acct_1,11,BYN,tag_1
25-11-2025 00:00,Taxi,acct_1,18,BYN,tag_1
24-11-2025 00:00,Food,acct_1,9,BYN,tag_1
24-11-2025 00:00,Public transport,acct_2,1,BYN,tag_1
24-11-2025 00:00,Public transport,acct_2,1,BYN,tag_1
24-11-2025 00:00,Cafe,acct_3,4,BYN,tag_1
24-11-2025 00:00,Public transport,acct_2,1,BYN,tag_1
24-11-2025 00:00,Public transport,acct_2,1,BYN,tag_1
22-11-2025 00:00,Food,acct_1,11,BYN,tag_1
21-11-2025 00:00,Public transport,acct_2,2,BYN,tag_1
21-11-2025 00:00,Cafe,acct_1,11,BYN,tag_1
21-11-2025 00:00,Public transport,acct_2,1,BYN,tag_1
21-11-2025 00:00,Public transport,acct_2,1,BYN,tag_1
20-11-2025 00:00,Public transport,acct_2,1,BYN,tag_1
20-11-2025 00:00,Public transport,acct_2,2,BYN,tag_1
20-11-2025 00:00,Cafe,acct_1,9,BYN,tag_1
20-11-2025 00:00,Public transport,acct_2,1,BYN,tag_1
20-11-2025 00:00,Cafe,acct_3,8,BYN,tag_1
19-11-2025 00:00,Public transport,acct_2,1,BYN,tag_1
18-11-2025 00:00,Gifts,acct_1,79,BYN,tag_1
18-11-2025 00:00,Public transport,acct_2,1,BYN,tag_1
18-11-2025 00:00,Cafe,acct_3,2,BYN,tag_1
18-11-2025 00:00,Cafe,acct_1,5,BYN,tag_1
18-11-2025 00:00,Taxi,acct_1,9,BYN,tag_1
18-11-2025 00:00,Public transport,acct_2,1,BYN,tag_1
18-11-2025 00:00,Cafe,acct_3,3,BYN,tag_1
17-11-2025 00:00,Public transport,acct_2,1,BYN,tag_1
17-11-2025 00:00,Cafe,acct_3,3,BYN,tag_1
17-11-2025 00:00,Cafe,acct_3,2,BYN,tag_1
17-11-2025 00:00,Public transport,acct_2,1,BYN,tag_1
16-11-2025 00:00,Public transport,acct_2,2,BYN,tag_1
15-11-2025 00:00,Food,acct_3,3,BYN,tag_1
15-11-2025 00:00,Public transport,acct_2,1,BYN,tag_1
15-11-2025 00:00,Food,acct_3,3,BYN,tag_1
15-11-2025 00:00,Cafe,acct_3,3,BYN,tag_1
15-11-2025 00:00,Public transport,acct_2,1,BYN,tag_1
13-11-2025 00:00,Public transport,acct_2,1,BYN,tag_1
13-11-2025 00:00,Loan given,acct_1,23,BYN,tag_1
13-11-2025 00:00,Cafe,acct_1,4,BYN,tag_1
13-11-2025 00:00,Public transport,acct_2,2,BYN,tag_1
13-11-2025 00:00,Public transport,acct_2,1,BYN,tag_1
13-11-2025 00:00,Public transport,acct_2,1,BYN,tag_1
13-11-2025 00:00,Health,acct_1,36,BYN,tag_1
13-11-2025 00:00,Public transport,acct_2,1,BYN,tag_1
12-11-2025 00:00,Cafe,acct_1,10,BYN,tag_1
12-11-2025 00:00,Public transport,acct_2,1,BYN,tag_1
11-11-2025 00:00,Public transport,acct_2,1,BYN,tag_1
11-11-2025 00:00,Cafe,acct_1,5,BYN,tag_1
11-11-2025 00:00,Public transport,acct_2,1,BYN,tag_1
10-11-2025 00:00,Public transport,acct_2,1,BYN,tag_1
10-11-2025 00:00,Public transport,acct_2,1,BYN,tag_1
10-11-2025 00:00,Cafe,acct_1,6,BYN,tag_1
